pub_place	publisher	create_date	author	identifiers	filename	editor	year	title	pub_date	head	id
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Front Matter	1 1
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 1757, petit in-12. (B.) Il est encore question du comte d'Hé-	1 2
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 juin 1753.	1 3
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, Ier juillet 1753.	1 4
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 juillet 1753.	1 5
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 1er août 1753.	1 6
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 août 1753.	1 7
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 1er septembre 1753.	1 8
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 15 septembre 1753.	1 9
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, Ier octobre 1753 .	1 10
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 15 octobre 1753.	1 11
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 1er novembre 1753.	1 12
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 15 novembre 1753.	1 13
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, Ier décembre 1753.	1 14
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 15 decembre 1755.	1 15
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 1er janvier 1754.	1 16
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 15 janvier 1754.	1 17
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, Ier février 1754.	1 18
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 février 1754.	1 19
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , Ier mars 1754.	1 20
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , Ier avril 1754.	1 21
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 avril 1754.	1 22
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , Ier mai 1754.	1 23
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 mai 1754.	1 24
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 1er juin 1754.	1 25
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 juin 1754	1 26
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 1er juillet 1754.	1 27
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 juillet 1754.	1 28
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 15 août 1754.	1 29
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 1er septembre 1754.	1 30
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 1er novembre 1764.	1 31
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 novembre 1754.	1 32
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 1er décembre 1754.	1 33
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 1er janvier 1755.	1 34
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 15 janvier 1755	1 35
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 1er février 1755	1 36
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 février 1755.	1 37
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 1er mars 1755.	1 38
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 1er avril 1755.	1 39
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 avril 1755.	1 40
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 1er mai 1755.	1 41
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 mai 1755.	1 42
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 juin 1755.	1 43
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 1er juillet 1755.	1 44
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 15 juillet 1755.	1 45
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 15 août 1755.	1 46
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 1er septembre 1755.	1 47
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 1er novembre 1755.	1 48
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 1er décembre 1755.	1 49
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 15 décembre 1753.	1 50
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 1er janvier 1756.	1 51
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 15 janvier 1756.	1 52
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 février 1756.	1 53
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 1er mars 1756.	1 54
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 avril 1756,	1 55
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , Ier mai 1756,	1 56
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 mai 1756.	1 57
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris, 1er juin 1756.	1 58
Paris	Furne	1753-1756	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr01	Correspondance01.tei	Taschereau, Jules-Antoine; Chaudé, A.	1753	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 01	1829-1831	Paris , 15 juin 1756.	1 59
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Front Matter	2 1
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris , 1er juillet 1756.	2 2
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris , 1er août 1756.	2 3
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris , 15 août 1756.	2 4
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, 1er septembre 1756.	2 5
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, 15 septembre 1756.	2 6
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, 1er octobre 1756.	2 7
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris 15 octobre 1756.	2 8
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, 1er novembre 1766.	2 9
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, 15 novembre 1756.	2 10
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris , 1er décembre 1766.	2 11
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, 1er janvier 1757.	2 12
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, 15 janvier 1757.	2 13
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, 1er février 1757.	2 14
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, 1er mars 1757	2 15
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris , 15 mars 1757.	2 16
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, 1er avril 1767.	2 17
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris , 1er mai 1757.	2 18
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris , 15 mai 1757.	2 19
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, 1er juin 1757.	2 20
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, 15 juin 1757.	2 21
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris , 1er juillet 1757.	2 22
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, 15 juillet 1757.	2 23
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris , 1er août 1757.	2 24
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, 15 août 1757,	2 25
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, 1757, in-12. Non représenté.	2 26
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, 1er septembre 1757.	2 27
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris , 15 septembre 1757,	2 28
Paris	Furne	1756-1760	Grimm, Friedrich Melchior (1723-1807)	GrimmCorr02	Correspondance02.tei	Taschereau, Jules-Antoine; Chaudé, A.	1756	Correspondance littéraire, philosophique et critique de Grimm et de Diderot depuis 1753 jusqu'en 1790. Tome 02	1829-1831	Paris, ter octobre 1757.	2 29
